alert_id,motor_id,timestamp,sensor,parametro,valor_medido,baseline,desvio,unidade,nivel,evento_tipo,resumo_gerado,label_verdadeiro,label_predito
A011,MT-042,2026-08-19 11:15:00,temp_enrolamento,temperatura,92.0,60.0,32.0,°C,critico,anomalia_eletrica,"Alerta CRÍTICO detectado no Motor MT-042. A temperatura do enrolamento atingiu 92.0°C, um desvio de +32.0°C em relação ao baseline de 60.0°C, registrado em 19/08/2026 11:15. Risco elevado de falha; recomenda-se verificação do sistema de refrigeração com prioridade máxima, avaliando parada imediata do equipamento.",anomalia elétrica,manutenção preventiva
A012,MT-017,2026-08-19 13:00:00,vibracao_radial,vibracao,1.3,1.0,0.3,mm/s,leve,manutencao_preventiva,"Alerta leve registrado no Motor MT-017. A vibração radial apresentou desvio de +0.3mm/s em relação ao baseline (1.3mm/s vs. 1.0mm/s), em 19/08/2026 13:00. Nenhuma ação imediata é necessária; recomenda-se apenas monitoramento contínuo.",manutenção preventiva,manutenção preventiva
A013,MT-005,2026-08-19 14:25:00,rolamento_temp,temperatura,70.0,45.0,25.0,°C,critico,anomalia_mecanica,"Alerta CRÍTICO detectado no Motor MT-005. A temperatura do rolamento atingiu 70.0°C, um desvio de +25.0°C em relação ao baseline de 45.0°C, registrado em 19/08/2026 14:25. Risco elevado de falha; recomenda-se lubrificação e inspeção mecânica do rolamento com prioridade máxima, avaliando parada imediata do equipamento.",anomalia mecânica,manutenção preventiva
A014,MT-029,2026-08-19 15:45:00,corrente_fase,corrente,15.8,11.0,4.8,A,moderado,anomalia_eletrica,Alerta moderado detectado no Motor MT-029. A corrente de fase apresentou desvio de +4.8A acima do baseline (15.8A vs. 11.0A) registrado em 19/08/2026 15:45. Recomenda-se verificação da carga acoplada e do balanceamento de fases nas próximas 48 horas.,anomalia elétrica,manutenção preventiva
A015,MT-011,2026-08-19 17:00:00,vibracao_axial,vibracao,1.1,1.2,-0.1,mm/s,leve,operacao_normal,"Alerta leve registrado no Motor MT-011. A vibração axial apresentou desvio de -0.1mm/s em relação ao baseline (1.1mm/s vs. 1.2mm/s), em 19/08/2026 17:00. Nenhuma ação imediata é necessária; recomenda-se apenas monitoramento contínuo.",operação normal,manutenção preventiva
A016,MT-042,2026-08-20 07:30:00,rolamento_temp,temperatura,48.0,45.0,3.0,°C,leve,manutencao_preventiva,"Alerta leve registrado no Motor MT-042. A temperatura do rolamento apresentou desvio de +3.0°C em relação ao baseline (48.0°C vs. 45.0°C), em 20/08/2026 07:30. Nenhuma ação imediata é necessária; recomenda-se apenas monitoramento contínuo.",manutenção preventiva,manutenção preventiva
A017,MT-017,2026-08-20 08:50:00,temp_enrolamento,temperatura,85.0,60.0,25.0,°C,critico,anomalia_eletrica,"Alerta CRÍTICO detectado no Motor MT-017. A temperatura do enrolamento atingiu 85.0°C, um desvio de +25.0°C em relação ao baseline de 60.0°C, registrado em 20/08/2026 08:50. Risco elevado de falha; recomenda-se verificação do sistema de refrigeração com prioridade máxima, avaliando parada imediata do equipamento.",anomalia elétrica,manutenção preventiva
A018,MT-005,2026-08-20 10:10:00,vibracao_radial,vibracao,2.4,1.0,1.4,mm/s,critico,anomalia_mecanica,"Alerta CRÍTICO detectado no Motor MT-005. A vibração radial atingiu 2.4mm/s, um desvio de +1.4mm/s em relação ao baseline de 1.0mm/s, registrado em 20/08/2026 10:10. Risco elevado de falha; recomenda-se inspeção do alinhamento e balanceamento com prioridade máxima, avaliando parada imediata do equipamento.",anomalia mecânica,manutenção preventiva
A019,MT-029,2026-08-20 11:35:00,isolamento,resistencia,1.1,5.0,-3.9,MΩ,critico,anomalia_eletrica,"Alerta CRÍTICO detectado no Motor MT-029. A resistência de isolamento atingiu 1.1MΩ, um desvio de -3.9MΩ em relação ao baseline de 5.0MΩ, registrado em 20/08/2026 11:35. Risco elevado de falha; recomenda-se inspeção do sistema de isolamento elétrico com prioridade máxima, avaliando parada imediata do equipamento.",anomalia elétrica,manutenção preventiva
A020,MT-011,2026-08-20 13:00:00,corrente_fase,corrente,11.5,11.0,0.5,A,leve,operacao_normal,"Alerta leve registrado no Motor MT-011. A corrente de fase apresentou desvio de +0.5A em relação ao baseline (11.5A vs. 11.0A), em 20/08/2026 13:00. Nenhuma ação imediata é necessária; recomenda-se apenas monitoramento contínuo.",operação normal,manutenção preventiva
